Key            Name:Suffix                                Trend Definitions Used		BuildingName																
Point_1:	BURTON.YEST.STEAM.CONSUMP	Burton Hall																
Point_2:	COWLING.YEST.STEAM.CONSUMP	Cowling Recreation Center																
Point_3:	DAVIS.YEST.STEAM.CONSUMP	Davis Hall																
Point_4:	EVANS.YEST.STEAM.CONSUMP	Evans Hall																
Point_5:	GOODHUE.YEST.STEAM.CONSUMP	Goodhue Hall																
Point_6:	HULINGS.YEST.STEAM.CONSUMP	Hulings Hall																
Point_7:	LIBRARY.YEST.STEAM.CONSUMP	Gould Memorial Library																
Point_8:	MUDD.YEST.STEAM.CONSUMP	Mudd Hall of Science																
Point_9:	MUSSER.YEST.STEAM.CONSUMP	Musser Hall																
Point_10:	MYERS.YEST.STEAM.CONSUMP	Myers Hall																
Point_11:	NOURSE.YEST.STEAM.CONSUMP	Nourse Hall																
Point_12:	OLIN.YEST.STEAM.CONSUMP	Olin Hall of Science																
Point_13:	SAYLES.YEST.STEAM.CONSUMP	Sayles-Hill Campus Center																
Point_14:	SEVY.YEST.STEAM.CONSUMP	Severance Hall																
Point_15:	STHS.YEST.STEAM.CONSUMP	Student Houses																
Point_16:	WATSON.YEST.STEAM.CONSUMP	Watson Hall																
Point_17:	WEST.GYM.YEST.STEAM.CONSUMP	West Gymnasium																
Time Interval:	1 Days																	
Date Range:	7/1/2009 00:00:00 - 11/18/2011 23:59:59																	
Report Timings:	All Hours																	
																		
<>Date	Time	Point_1	Point_2	Point_3	Point_4	Point_5	Point_6	Point_7	Point_8	Point_9	Point_10	Point_11	Point_12	Point_13	Point_14	Point_15	Point_16	Point_17
9/13/09	0:00:00	0	No Data	2.33	No Data	1425.38	No Data	78.75	No Data	No Data	No Data	162.28	11.35	4.65	35.77	No Data	No Data	13019.29
9/14/09	0:00:00	0	No Data	463.21	No Data	1425.38	No Data	78.75	No Data	No Data	No Data	162.28	11.35	4.65	35.77	No Data	No Data	13019.29
9/15/09	0:00:00	0	No Data	612.88	No Data	1545.54	No Data	78.75	No Data	No Data	No Data	162.28	11.35	4.65	35.77	No Data	No Data	13019.29
9/16/09	0:00:00	0	No Data	3.07	No Data	1545.54	No Data	78.75	No Data	No Data	No Data	162.28	11.35	4.65	35.77	No Data	No Data	13019.29
9/17/09	0:00:00	0	No Data	504.44	No Data	1663.06	No Data	78.75	No Data	No Data	No Data	162.28	11.35	4.65	35.77	No Data	No Data	13019.29
9/18/09	0:00:00	0	No Data	118.67	No Data	1322.23	No Data	78.75	No Data	No Data	No Data	162.28	11.35	4.65	35.77	No Data	No Data	13368.82
9/19/09	0:00:00	0	No Data	332.36	No Data	1605.98	No Data	78.75	No Data	No Data	No Data	162.28	11.35	4.65	35.77	No Data	No Data	14256.71
9/20/09	0:00:00	0	No Data	332.36	No Data	1605.98	No Data	78.75	No Data	No Data	No Data	162.28	11.35	4.65	35.77	No Data	No Data	13302.37
9/21/09	0:00:00	0	No Data	332.36	No Data	1461.44	No Data	78.75	No Data	No Data	No Data	162.28	11.35	4.65	35.77	No Data	No Data	13501.9
9/22/09	0:00:00	0	No Data	332.36	No Data	1461.44	No Data	78.75	No Data	No Data	No Data	162.28	11.35	4.65	35.77	No Data	No Data	13501.9
9/23/09	0:00:00	0	No Data	332.36	No Data	1635.57	No Data	78.75	No Data	No Data	No Data	162.28	11.35	4.65	35.77	No Data	No Data	15418.88
9/24/09	0:00:00	0	No Data	-0.01	No Data	1635.57	No Data	78.75	No Data	No Data	No Data	162.28	11.35	4.65	35.77	No Data	No Data	15418.88
9/25/09	0:00:00	0	No Data	410.96	No Data	1635.57	No Data	78.75	No Data	No Data	No Data	162.28	11.35	4.65	35.77	No Data	No Data	14021.38
9/26/09	0:00:00	0	No Data	410.96	199.4	1529.38	No Data	78.75	No Data	No Data	No Data	162.28	11.35	4.65	35.77	No Data	No Data	13093.67
9/27/09	0:00:00	0	No Data	11.62	96.62	1794.61	No Data	544.11	No Data	No Data	No Data	162.28	11.35	4.65	35.77	No Data	No Data	12669.18
9/28/09	0:00:00	0	No Data	499.99	96.62	1263.67	No Data	544.11	No Data	No Data	No Data	162.28	11.35	4.65	35.77	No Data	No Data	17565.98
9/29/09	0:00:00	0	No Data	62.72	209.24	1856.96	No Data	544.11	No Data	No Data	No Data	361.67	11.35	4.65	35.77	No Data	No Data	17565.98
9/30/09	0:00:00	0	No Data	639.01	3419.19	3582.83	No Data	78.75	No Data	No Data	No Data	135.13	11.35	1015.71	35.77	No Data	No Data	27080.43
10/1/09	0:00:00	0	No Data	639.01	3061.31	2783.23	No Data	436.11	No Data	No Data	No Data	135.13	132.37	1015.71	35.77	No Data	No Data	30216.93
10/2/09	0:00:00	0	No Data	3048.8	2887.27	4968.61	No Data	78.75	No Data	No Data	No Data	135.13	132.37	711.36	35.77	No Data	No Data	30216.93
10/3/09	0:00:00	0	No Data	556.41	2507.48	4206.56	No Data	78.75	No Data	No Data	No Data	135.13	132.37	217.14	35.77	No Data	No Data	21966.04
10/4/09	0:00:00	0	No Data	0	2207.08	4763.4	No Data	78.75	No Data	No Data	No Data	135.13	132.37	217.14	35.77	No Data	No Data	21966.04
10/5/09	0:00:00	0	No Data	0	1729.85	3649.83	No Data	78.75	No Data	No Data	No Data	135.13	132.37	453.58	35.77	No Data	No Data	32089.72
10/6/09	0:00:00	0	No Data	0	2229.43	3303.53	No Data	78.75	No Data	No Data	No Data	135.13	132.37	53.63	35.77	No Data	No Data	27147.91
10/7/09	0:00:00	0	No Data	0	1689.52	7109.35	No Data	78.75	No Data	No Data	No Data	135.13	132.37	973	35.77	No Data	No Data	32480.05
10/8/09	0:00:00	0	No Data	0	2333.69	3477.24	No Data	443.41	No Data	No Data	No Data	135.13	132.37	45.13	35.77	No Data	No Data	30305.76
10/9/09	0:00:00	0	No Data	0	1899.24	5855.98	No Data	78.75	No Data	No Data	No Data	135.13	132.37	45.13	35.77	No Data	No Data	32982.83
10/10/09	0:00:00	0	No Data	0	2520.21	7375.59	No Data	78.75	No Data	No Data	No Data	135.13	15.12	1147.45	193.29	No Data	No Data	30505.24
10/11/09	0:00:00	0	No Data	0	2692.38	12288.29	No Data	286.19	No Data	No Data	No Data	135.13	15.12	2036.9	193.29	No Data	No Data	16050.08
10/12/09	0:00:00	0	No Data	0	2809.79	12054.96	No Data	78.75	No Data	No Data	No Data	211.95	15.12	2036.9	193.29	No Data	No Data	0
10/13/09	0:00:00	0	No Data	0	3501.14	15490.39	No Data	78.75	No Data	No Data	No Data	340.6	15.12	2371.78	193.29	No Data	No Data	0
10/14/09	0:00:00	0	No Data	0	4003.17	15966.04	No Data	78.75	No Data	No Data	No Data	609.12	15.12	1592.26	35.43	No Data	No Data	0
10/15/09	0:00:00	0	No Data	0	3574.43	13411.89	No Data	78.75	No Data	No Data	No Data	609.12	15.12	1592.26	35.43	No Data	No Data	0
10/16/09	0:00:00	0	No Data	0	3330.14	12979.17	No Data	78.75	No Data	No Data	No Data	320.41	15.12	973.03	35.43	No Data	No Data	692.9
10/17/09	0:00:00	0	No Data	0	3519.56	12298.07	No Data	78.75	No Data	No Data	No Data	161.51	15.12	549.8	35.43	No Data	No Data	692.9
10/18/09	0:00:00	0	No Data	0	2432.89	11005.95	No Data	78.75	No Data	No Data	No Data	161.51	115.65	549.8	35.43	No Data	No Data	0
10/19/09	0:00:00	0	No Data	0	2251.31	4665.57	No Data	521.51	No Data	No Data	No Data	161.51	8.9	932.95	35.43	No Data	No Data	0
10/20/09	0:00:00	0	No Data	0	2584.96	5771.01	No Data	398.3	No Data	No Data	No Data	161.51	8.9	932.95	35.43	No Data	No Data	0
10/21/09	0:00:00	0	No Data	0	2129.27	3168.52	No Data	78.75	No Data	No Data	No Data	161.51	8.9	257.53	35.43	No Data	No Data	0
10/22/09	0:00:00	0	No Data	0	2814.64	10024.67	No Data	78.75	No Data	No Data	No Data	161.51	120.06	419.36	35.43	No Data	No Data	0
10/23/09	0:00:00	0	No Data	0	2981.1	10625.14	No Data	78.75	No Data	No Data	No Data	161.51	120.06	419.36	35.43	No Data	No Data	0
10/24/09	0:00:00	0	No Data	0	3182.31	12075.11	No Data	78.75	No Data	No Data	No Data	161.51	10.9	62.01	214.64	No Data	No Data	0
